,Open,High,Low,Close,Accumulation Distribution,Volume,Stochastic Oscillator,Rate of Change,Supertrend,relative strength,On Balance Volume,Macd,Ema9,ema21,ema50,ema100,ema200,moving average,upper band,lower band
0,1.0,2.0,3.0,4.0,-15.0,5.0,,,0.0,99.993670068298,5.0,,,,,,,,,
1,22979.26,22982.0,22979.05,22982.0,-14.708904,0.291096,,,0.0,99.993670068298,5.291096,,,,,,,,,
2,22982.0,22984.39,22982.0,22984.39,-14.596218,0.112686,,,0.0,99.993670068298,5.403782,,,,,,,,,
3,22984.5,22984.81,22984.5,22984.81,-14.512404,0.083814,,,0.0,99.993670068298,5.487596,,,,,,,,,
4,22984.81,22984.81,22984.81,22984.81,,0.0,,,0.0,99.993670068298,5.487596,,,,,,,,,
5,22984.81,22984.81,22984.81,22984.81,,0.0,,,0.0,99.993670068298,5.487596,,,,,,,,,
6,22984.88,22984.88,22984.88,22984.88,,0.1823,,,0.0,99.993670068298,5.669896,,,,,,,,,
7,22984.88,22984.88,22984.27,22984.27,,0.168384,,,0.0,99.993670068298,5.501512,,,,,,,,,
8,22984.88,22984.88,22984.27,22984.27,,0.030764,,,0.0,99.993670068298,5.501512,,,,,,,,,
9,22983.41,22983.44,22983.41,22983.44,,0.142588,,574486.0,0.0,99.993670068298,5.358924,,,,,,,,,
10,22984.2,22984.2,22984.2,22984.2,,0.160544,,0.009572709076666186,0.0,99.993670068298,5.519468,,,,,,,,,
11,22984.64,22984.64,22984.64,22984.64,,0.000924,,0.0010876947354354627,0.0,99.993670068298,5.520392,,,,,,,,,
12,22984.92,22985.06,22984.92,22985.06,,0.200993,,0.0010876748600452402,0.0,99.993670068298,5.721385000000001,,,,,,,,,
13,22985.06,22985.4,22985.06,22985.4,,0.157487,100.0,0.0025669126697103195,27910.74,99.993670068298,5.878872,,,,,,,,,
14,22985.4,22985.48,22985.4,22985.48,,0.239714,100.0,0.00291496862492302,18411.932857142856,99.993670130576,6.1185860000000005,,,,,,,,,
15,22985.53,22985.71,22985.53,22985.71,,0.171403,100.0,0.0036110695378788193,27232.62448979592,99.99367018806232,6.289989,,,,,,,,,
16,22985.7,22985.71,22985.7,22985.71,,0.101349,100.0,0.006265154386020377,19042.14440233236,99.99367021729641,6.289989,,,,,,,,,
17,22985.71,22985.71,22985.71,22985.71,,0.0,100.0,0.006265154386020377,26647.59234069138,99.99367021914834,6.289989,,,,,,,,,
18,22985.71,22985.71,22985.71,22985.71,,0.0,100.0,0.009876676424425135,19585.39068364372,99.99367021914834,6.289989,,,,,,,,,
19,22985.73,22985.85,22985.73,22985.85,,0.152259,100.0,0.0071788445975773385,26143.319365187974,99.99367025351285,6.442248,,,,,,,,,
20,22985.85,22986.32,22985.85,22986.32,,0.193154,100.0,0.007309229119978333,20054.283446611167,99.99367038997589,6.635402,,,,,,,21890.546190476187,23600.87492696081,20180.217453991565
21,22986.32,22986.87,22985.3,22985.3,,0.248409,54.62427745664436,0.001044156508611671,25708.241799575346,99.9925883035842,6.386993,,,,,,,22984.893809523808,24695.22254600843,21274.565073039186
22,22985.3,22985.3,22985.3,22985.3,,0.0,54.62427745664436,-0.00043505877644900437,20456.854043251464,99.98710104836402,6.386993,,,,,,,22985.05095238095,24695.37968886557,21274.722215896327
23,22986.62,22986.62,22986.62,22986.62,,0.19999,90.63670411984405,0.004959652789504609,25334.745531266497,99.98710260221115,6.586983,,,,,,,22985.157142857137,24695.48587934176,21274.828406372515
24,22986.4,22986.87,22986.4,22986.87,,0.076289,100.0,0.005046613743919792,20806.36700668111,99.98710262122444,6.663272,,,,,,,22985.255238095233,24695.583974579855,21274.92650161061
