,Open,High,Low,Close,Accumulation Distribution,Volume,Stochastic Oscillator,Rate of Change,Supertrend,relative strength,On Balance Volume,Macd,Ema9,ema21,ema50,ema100,ema200,moving average,upper band,lower band
0,22666.0,22697.0,22628.83,22631.9,-999.7727152325139,1098.73458,,,0.0,45.94091915654866,1098.73458,,,,,,,,,
1,22634.24,22677.74,22612.54,22676.54,-229.16556020185658,800.05711,,,0.0,45.94091915654866,1898.79169,,,,,,,,,
2,22676.54,22792.86,22675.39,22701.9,-1912.1087208087274,3067.42177,,,0.0,45.94091915654866,4966.21346,,,,,,,,,
3,22701.9,22705.92,22424.69,22462.58,-4928.872379323019,4129.49352,,,0.0,45.94091915654866,836.71994,,,,,,,,,
4,22467.69,22556.59,22422.0,22523.87,-3520.157231422032,2741.85064,,,0.0,45.94091915654866,3578.57058,,,,,,,,,
5,22523.87,22528.0,22471.45,22487.88,-3841.766982470648,767.70922,,,0.0,45.94091915654866,2810.86136,,,,,,,,,
6,22487.11,22582.94,22486.18,22565.0,-3441.3518609989524,636.40222,,,0.0,45.94091915654866,3447.26358,,,,,,,,,
7,22565.0,22589.95,22536.0,22555.95,-3592.61715590163,580.8372,,,0.0,45.94091915654866,2866.42638,,,,,,,,,
8,22555.88,22588.0,22539.85,22586.52,-3203.506704076077,414.59766,,,0.0,45.94091915654866,3281.02404,,,,,,,,,
9,22585.6,22614.01,22572.28,22594.02,-3184.370772372227,456.30996,,-0.16737436980545084,0.0,45.94091915654866,3737.334,,,,,,,,,
10,22593.25,22630.0,22592.09,22624.44,-2856.3851978826788,464.12591,,-0.22975286353209556,0.0,45.94091915654866,4201.45991,,,,,,,,,
11,22623.93,22660.46,22621.59,22631.6,-3048.8819507255153,396.94158,,-0.30966571079954486,0.0,45.94091915654866,4598.401489999999,,,,,,,,,
12,22632.19,22633.08,22562.81,22617.58,-2624.1438003683197,760.02928,,0.6900364962528771,0.0,45.94091915654866,3838.3722099999995,,,,,,,,,
13,22617.57,22631.81,22597.72,22611.5,-2705.554888754974,425.00827,51.097449172194274,0.389053923681848,22842.23642857143,45.94091915654866,3413.3639399999997,,,,,,,,,
14,22611.5,22636.05,22601.43,22624.05,-2570.606278806976,439.91722,54.48147548940273,0.6055261767672127,22402.376173469387,46.39527085496705,3853.2811599999995,,,,,,,,,
15,22622.7,22638.88,22602.14,22611.17,-2820.612407789054,491.71441,51.00846680688075,0.20460890760025663,22397.457161078717,46.45773797879237,3361.5667499999995,,,,,,,,,
16,22612.44,22620.0,22587.82,22604.48,-2800.0632052968335,580.06433,64.27162581008758,0.2151538729248781,22809.823350426905,44.937200619523985,2781.5024199999993,,,,,,,,,
17,22604.48,22623.21,22597.51,22620.3,-2254.455669312385,705.33771,83.1586010232324,0.1495582320782507,22424.1168888893,45.72905893634808,3486.8401299999996,,,,,,,,,
18,22620.3,22622.13,22600.0,22606.33,-2569.800207631312,736.9139,71.36130363472947,0.054483442964126105,22419.41782539721,45.86072582064132,2749.9262299999996,,,,,,,,,
19,22605.37,22609.49,22573.74,22576.17,-3242.8801826216677,778.97731,51.63529951801616,-0.21335334708837417,22394.947980725978,42.968363568193794,1970.9489199999996,,,,,,,,,
20,22576.86,22618.78,22575.45,22608.8,-2899.0449019362304,637.50033,58.49268841394808,-0.10074409233107318,22786.362589325876,43.65726733781678,2608.4492499999997,,,,,,,22596.31333333333,23102.467085772336,22090.159580894328
21,22607.87,22614.95,22591.54,22610.93,-2660.996331304036,362.57105,58.933753420115586,-0.02940190771957285,22441.0340241974,45.77528112216282,2971.0202999999997,,,,,,,22595.31476190476,23101.468514343764,22089.161009465755
22,22610.92,22618.48,22578.89,22585.04,-3062.9681878788865,583.14642,22.764976958525406,-0.1170201003913851,22418.795879611873,44.506888491424895,2387.8738799999996,,,,,,,22590.957619047615,23097.11137148662,22084.80386660861
23,22585.04,22605.62,22564.03,22595.14,-2738.7518747531203,653.61883,33.10803891448933,-0.1277843710564608,22758.421683217548,42.76978025834738,3041.4927099999995,,,,,,,22585.873809523804,23092.02756196281,22079.7200570848
24,22596.41,22602.06,22567.26,22568.74,-3240.6839753047475,548.59413,6.0727086533542485,-0.18765061692957996,22409.66415129799,42.1442836437601,2492.8985799999996,,,,,,,22590.929047619044,23097.082800058048,22084.77529518004
25,22568.25,22596.0,22567.67,22568.99,-3696.9938813018075,503.20201,8.12409622715961,-0.15700427525869864,22722.774002366154,40.74228140084374,2996.1005899999996,,,,,,,22593.077619047617,23099.23137148662,22086.923866608613
26,22568.98,22591.38,22551.72,22584.41,-3150.3354370658517,842.94222,37.50573657640976,-0.15866279403897732,22433.11199780286,40.55094569639292,3839.0428099999995,,,,,,,22597.674285714285,23103.82803815329,22091.52053327528
27,22584.48,22608.44,22583.87,22600.38,-2980.931811139836,492.57362,55.82836163377689,-0.026320061681839313,22746.136002040203,45.57524456497313,4331.616429999999,,,,,,,22599.359047619044,23105.512800058048,22093.20529518004
28,22601.06,22611.42,22583.48,22609.11,-2706.385751612225,328.93726,65.84442404772776,0.1459060593537398,22467.77799810553,47.23594639759627,4660.553689999999,,,,,,,22601.890476190478,23108.044228629482,22095.736723751474
29,22609.11,22613.88,22574.0,22579.46,-2985.570078472826,384.45687,38.802629738423214,-0.12977247797317792,22439.677426812275,45.69559562463364,4276.096819999999,,,,,,,22601.554285714283,23107.708038153287,22095.40053327528
30,22580.03,22608.59,22572.34,22593.82,-2902.14710664663,450.68297,58.889355154566715,-0.07567136778540151,22731.385960817173,44.51201398434949,4726.779789999999,,,,,,,22601.54476190476,23107.698514343763,22095.391009465755
31,22594.18,22612.03,22590.25,22602.92,-2835.7970639836763,405.92807,72.71694361595966,0.07916744889535643,22470.51303638405,47.524605313159235,5132.707859999999,,,,,,,22600.52,23106.673752439005,22094.366247560996
32,22601.64,22604.7,22590.75,22600.57,-2713.7869813385496,299.12841,72.84521324187331,0.02403171655498415,22726.50860907195,47.41768508438658,4833.579449999998,,,,,,,22599.04238095238,23105.196133391386,22092.888628513378
33,22599.77,22610.59,22598.17,22606.69,-2618.3933887298895,256.44771,81.97136892335138,0.16815294074901121,22487.08557729033,48.68694333307752,5090.027159999999,1.481030784016184,,,,,,22598.52380952381,23104.677561962813,22092.370057084805
34,22606.69,22610.34,22580.1,22580.24,-2992.0361007668503,377.1347,42.72019173157747,0.04984715753784119,22462.698750341024,46.10366163271941,4712.892459999999,1.112707538093673,,,,,,22597.03523809524,23103.188990534243,22090.881485656235
35,22581.21,22595.61,22574.83,22577.74,-3279.908508274068,399.86555,38.975434391853,-0.029533647325741264,22691.338303254768,42.98977047980155,4313.026909999999,-0.14541133022430586,,,,,,22594.829999999998,23100.983752439002,22088.676247560994
36,22577.13,22581.97,22562.1,22564.08,-3698.533525239188,522.82081,19.884169884170866,-0.1606167683906201,22454.338004120575,40.29523911523769,3790.2060999999985,-2.009146496799076,,,,,,22592.587619047616,23098.74137148662,22086.43386660861
37,22563.64,22588.57,22563.12,22576.11,-3692.077047746034,310.03274,39.23745173745089,-0.14595886348467424,22683.46685331661,40.85278517824355,4100.238839999998,-3.323592607397586,,,,,,22591.236666666664,23097.390419105668,22085.08291422766
38,22575.42,22584.44,22571.22,22574.11,-3860.6887097127533,299.60298,36.01994851994767,-0.02369410074465339,22471.58863620601,42.15137355419757,3800.635859999998,-4.04133708028894,,,,,,22589.03714285714,23095.190895296146,22082.883390418137
39,22574.11,22580.42,22560.31,22563.99,-4151.640425525743,458.90502,19.739382239382987,-0.1320272534701905,22464.482305048437,40.32359391289461,3341.730839999998,-5.08331537579943,,,,,,22587.020952380946,23093.17470481995,22080.867199941942
40,22563.04,22597.41,22562.8,22593.13,-3797.302048235909,470.77356,61.26563375023313,-0.043312987879429166,22692.946431026456,44.045748561478185,3812.504399999998,-5.092890218427783,,,,,,22587.82857142857,23093.982323867574,22081.674818989566
41,22593.32,22607.11,22590.04,22602.82,-3566.7586895013383,463.53064,79.35411610976037,0.009955501122327348,22506.47545690401,50.812826425845245,4276.035039999998,-3.5085355769733724,-1.5702673023176876,,,,,22587.543809523806,23093.69756196281,22081.3900570848
42,22602.54,22618.08,22595.01,22611.44,-3376.5570884827807,448.20745,88.50614505798337,0.021011479345278694,22705.846361446278,53.474302077681045,4724.242489999998,-1.553573557863274,-2.170778861751995,,,,,22587.568095238094,23093.721847677098,22081.41434279909
43,22610.59,22621.88,22600.4,22611.96,-3344.35971213277,421.7071,83.88825726814693,0.1404768062695405,22519.69409294274,54.857314313951434,5145.949589999997,0.34998441788411583,-2.6567896201591625,,,,,22588.849999999995,23095.003752439,22082.69624756099
44,22611.96,22614.55,22601.18,22607.71,-3349.945624391582,240.91499,76.98554490823135,0.13274136383889523,22519.1695148754,53.9404582279912,4905.034599999997,1.649324889847776,-2.8763000618873202,,,,,22589.44857142857,23095.602323867573,22083.294818989565
