,1,2,3,4,5
0,23773.26,24122.0,23317.0,24122.0,1.02834
1,23539.0,24152.0,23268.0,23802.58,51.40033
2,23801.16,25796.99,22797.61,23782.61,82.949919
3,23778.39,26069.8,23764.34,23798.5,82.248678
4,23798.52,23892.6,23739.0,23773.13,78.687672
5,23772.3,23773.35,23718.89,23766.09,79.696821
6,23765.72,23808.52,23753.8,23807.44,73.04945
7,23807.02,23926.15,23800.74,23899.25,96.46809
8,23899.92,23935.65,23699.4,23766.05,111.976628
9,23765.35,23841.63,21408.86,23608.06,192.852257
10,23608.06,23689.85,23175.46,23573.44,158.08005
11,23576.26,23839.61,22842.61,23675.81,161.049183
12,23676.04,23822.78,23675.09,23793.74,95.787082
13,23793.95,23921.55,23035.76,23840.52,141.828715
14,23840.52,23892.45,10000.1,23798.44,106.847201
15,23797.58,23861.71,21052.8,23854.39,95.619
16,23854.39,23897.96,23779.16,23836.57,84.714698
17,23836.57,23890.1,23788.02,23790.74,85.285937
18,23790.53,23842.02,23781.33,23819.63,82.619359
19,23819.63,23850.03,23812.67,23827.12,75.157184
20,23827.07,23897.84,23825.92,23884.35,79.979479
21,23884.5,23931.33,23868.92,23893.84,96.139688
22,23894.05,23991.11,23890.74,23989.31,90.361114
23,23990.0,24141.64,23961.61,23987.39,109.011134
24,23996.33,24105.37,23978.41,24096.96,90.057355
25,24088.12,24102.74,24051.98,24056.66,74.999596
26,24055.95,24069.57,23849.99,23897.29,96.705831
27,23896.49,23903.05,23751.47,23831.72,100.039761
28,23831.72,23849.9,23730.24,23749.01,93.816989
29,23751.91,23824.28,23740.36,23805.17,92.137797
30,23803.73,23817.9,23750.83,23815.55,87.281737
31,23815.75,23819.62,23772.49,23780.72,89.592676
32,23782.02,23862.72,23768.6,23783.67,82.547182
33,23783.91,23882.36,23779.96,23867.45,83.502891
34,23869.33,23988.42,23713.35,23769.93,122.249801
35,23771.55,23793.32,23700.34,23759.12,103.134973
36,23759.31,23760.52,23633.48,23706.64,100.344238
37,23706.88,23715.84,23420.55,23467.72,88.941181
38,23456.83,23529.62,23392.11,23500.23,97.341781
39,23500.16,23586.52,23496.56,23525.14,74.897122
40,23525.14,23682.12,23524.34,23552.45,77.877728
41,23551.94,23615.21,23521.86,23555.95,72.205461
42,23555.41,23592.23,23510.84,23568.3,72.310495
43,23568.3,23570.52,23482.42,23490.26,68.959895
44,23490.92,23540.51,23461.3,23467.5,71.903345
45,23467.72,23499.8,23405.84,23489.36,80.127282
46,23489.36,23580.68,23489.36,23575.73,79.638503
