,Open,High,Low,Close,Accumulation Distribution,Volume,Stochastic Oscillator,Rate of Change,Supertrend,relative strength,On Balance Volume,Macd,Ema9,ema21,ema50,ema100,ema200,moving average,upper band,lower band
0,1.0,2.0,3.0,4.0,-15.0,5.0,,,0.0,85.85805071816353,5.0,,,,,,,,,
1,23773.26,24152.0,23268.0,23802.58,-4.018447356108391,52.42867,,,0.0,85.85805071816353,57.42867,,,,,,,,,
2,23801.16,26069.8,22797.61,23766.09,-136.0577999794891,323.58309,,,0.0,85.85805071816353,-266.15442,,,,,,,,,
3,23765.72,23935.65,21408.86,23608.06,215.29372210752646,474.346425,,,0.0,85.85805071816353,-740.500845,,,,,,,,,
4,23608.06,23921.55,22842.61,23840.52,688.4139911738334,556.74503,,,0.0,85.85805071816353,-183.75581499999998,,,,,,,,,
5,23840.52,23897.96,10000.1,23790.74,1055.1337705541928,372.466836,,,0.0,85.85805071816353,-556.222651,,,,,,,,,
6,23790.53,23931.33,23781.33,23893.84,1222.1261449821857,333.89571,,,0.0,85.85805071816353,-222.32694100000003,,,,,,,,,
7,23894.05,24141.64,23890.74,24056.66,1339.6905107337193,364.429199,,,0.0,85.85805071816353,142.10225799999995,,,,,,,,,
8,24055.95,24069.57,23730.24,23805.17,1126.004009040199,382.700378,,,0.0,85.85805071816353,-240.59812000000005,,,,,,,,,
9,23803.73,23882.36,23750.83,23867.45,1391.1819111998584,342.924486,,596586.25,0.0,85.85805071816353,102.32636599999995,,,,,,,,,
10,23869.33,23988.42,23420.55,23467.72,1045.4006998464001,414.670193,,-1.406822285651388,0.0,85.85805071816353,-312.34382700000003,,,,,,,,,
11,23456.83,23682.12,23392.11,23555.95,1087.2677844491402,322.322092,,-0.884200977106453,0.0,85.85805071816353,9.978264999999965,,,,,,,,,
12,23555.41,23592.23,23405.84,23489.36,1056.8188618730921,293.301017,,-0.5027943846296568,0.0,85.85805071816353,-283.32275200000004,,,,,,,,,
13,23489.36,23583.23,23437.72,23553.55,1241.0825409693716,311.227022,90.34691638405941,-1.2037069661232302,33621.83285714285,85.85805071816353,27.90426999999994,,,,,,,,,
14,23553.2,23588.31,23524.81,23554.89,1226.6101741671505,275.148291,84.34998786536153,-0.9913520974967671,14192.163061224495,85.87630775861481,303.0525609999999,,,,,,,,,
15,23554.89,23579.27,23412.3,23476.12,1159.8196734924759,283.549705,83.8598106996397,-1.7482330173802185,32205.86001457725,85.72585653844033,19.502855999999895,,,,,,,,,
16,23475.88,23534.02,23417.16,23532.93,1435.162695037572,280.577132,95.69558902354342,-2.177068637125845,15401.701415035408,85.67492100538595,300.0799879999999,,,,,,,,,
17,23533.72,23560.96,23508.69,23516.2,1261.2660129493945,244.015559,95.57728507644855,-1.2138959730176202,31077.82725746712,85.6982532380671,56.064428999999905,,,,,,,,,
18,23516.05,23548.53,23501.56,23523.23,1243.178862879131,234.03676,95.62699677687154,-1.4422152345558548,16491.6539752091,85.66981515825663,290.10118899999986,,,,,,,,,
19,23523.68,23551.88,23507.45,23513.27,1079.1996935800055,222.189524,16.16479660587302,0.19409640135470418,30052.111308734406,85.67098681492573,67.91166499999986,,,,,,,,,
20,23513.92,23544.27,23448.71,23452.54,837.5585232838657,262.698865,8.062385761744077,-0.43899736584599447,17360.28164188948,85.52186353964666,-194.78720000000015,,,,,,,22527.184285714287,26676.97102731318,18377.397544115396
21,23452.54,23472.05,23328.21,23423.32,934.6072219742182,300.980699,12.82912485162411,-0.2811485710977224,29111.23990395977,85.191223555719,-495.76789900000017,,,,,,,23642.39,27792.176741598894,19492.603258401105
22,23423.33,23446.67,23400.12,23420.99,907.716230658032,260.244417,14.053104315294012,-0.5628026348469706,18129.375089180216,85.19448500641077,-756.0123160000002,,,,,,,23624.219047619048,27774.00578921794,19474.432306020157
23,23420.99,23489.28,23353.22,23431.57,949.8988762920166,278.070289,15.65562472546625,-0.5235430944487529,28374.368131475516,85.1954102757318,-477.94202700000017,,,,,,,23608.289523809526,27758.076265408417,19458.502782210635
24,23430.93,23626.08,23310.2,23534.13,1079.2324462392742,309.546053,60.20918477091883,0.24710216168601917,18876.700306487022,85.24726185501393,-168.3959740000002,,,,,,,23604.76904761905,27754.555789217942,19454.98230602016
25,23533.63,23568.37,23488.12,23524.12,1050.3225327532928,281.214613,67.72191971634722,-0.037436902247200976,27866.072572547764,85.30446950429854,-449.6105870000002,,,,,,,23589.70238095238,27739.489122551277,19439.915639353487
26,23524.08,23649.44,23268.84,23343.75,832.0738255110965,359.933521,19.682080924855526,-0.7333242615728763,19230.37975406279,84.7589353795294,-809.5441080000002,,,,,,,23568.41714285714,27718.20388445603,19418.630401258248
27,23343.11,23587.64,23239.68,23516.67,1066.2251785800095,395.472793,67.59810620851206,-0.02788732669791738,27410.790942655978,84.58316250297024,-414.07131500000014,,,,,,,23550.45666666667,27700.24340826556,19400.669925067778
28,23516.38,23705.0,23113.51,23605.22,1325.228971991244,390.881417,83.13073762870064,0.39105577403739655,19862.502696105163,84.67064748118567,-23.18989800000014,,,,,,,23528.959523809524,27678.746265408416,19379.172782210633
29,23603.81,23712.52,10000.96,23517.55,1689.4304192129255,374.862066,98.5780611396515,0.2771981201183271,17103.978217811935,64.31291662222014,-398.05196400000017,,,,,,,23515.263333333332,27665.050074932224,19365.47659173444
30,23517.55,23659.38,23504.52,23508.31,1367.9987010292793,337.974714,98.51067274620831,0.3628435251706419,29496.953797746064,71.76346027334239,-736.0266780000002,,,,,,,23498.161428571428,27647.94817017032,19348.374686972536
