,1,2,3,4,5
0,22899.57,22900.26,22896.68,22897.92,4.738299
1,22897.72,22904.71,22896.48,22898.21,5.569478
2,22898.12,22904.38,22892.77,22904.15,6.240038
3,22903.87,22906.8,22901.9,22904.54,4.663507
4,22904.36,22904.52,22897.36,22901.17,4.698364
5,22900.35,22909.8,22899.75,22909.8,5.679241
6,22909.8,22910.68,22906.63,22909.92,4.838456
7,22909.82,22915.63,22908.95,22915.2,5.225137
8,22915.63,22927.05,22915.63,22924.92,4.296217
9,22924.48,22927.0,22922.49,22926.86,5.071248
10,22927.14,22943.55,22922.2,22922.2,6.478043
11,22922.87,22926.44,22909.72,22910.59,5.990167
12,22909.43,22909.43,22904.54,22907.76,3.041965
13,22908.08,22910.12,22907.42,22908.18,4.103761
14,22907.76,22930.05,22907.44,22930.05,5.24359
15,22929.22,22929.22,22918.53,22921.87,5.331434
16,22921.87,22926.48,22919.88,22925.75,5.248985
17,22924.93,22926.29,22922.38,22922.47,4.487231
18,22922.92,22923.55,22917.94,22917.94,4.885438
19,22918.5,22928.23,22918.5,22928.23,3.353685
20,22927.77,22943.48,22918.62,22918.62,7.312919
21,22918.62,22920.75,22909.84,22920.75,5.465051
22,22921.15,22924.18,22915.45,22921.1,5.12688
23,22921.21,22922.07,22919.45,22920.99,3.908336
24,22920.95,22927.61,22919.09,22927.61,4.582371
25,22926.84,22932.12,22921.35,22921.35,3.710623
26,22922.52,22922.52,22914.8,22919.01,5.379622
27,22919.35,22925.67,22919.23,22924.54,3.724318
28,22924.54,22924.54,22917.14,22917.14,3.082513
29,22916.57,22918.35,22914.19,22915.78,4.541096
30,22915.78,22918.91,22911.28,22913.4,4.216791
31,22913.97,22919.55,22913.46,22917.65,3.197636
32,22917.74,22917.91,22914.01,22916.29,3.231873
33,22916.14,22921.62,22916.03,22919.44,4.83056
34,22919.47,22921.95,22917.11,22920.59,3.477204
35,22920.59,22923.58,22919.2,22923.58,5.039649
36,22924.23,22924.58,22918.27,22918.67,3.730209
37,22918.92,22924.49,22918.51,22924.49,4.558266
38,22924.6,22933.34,22924.45,22933.32,4.274468
39,22933.3,22934.05,22926.86,22927.09,3.96679
40,22926.77,22930.6,22926.4,22928.51,3.378994
41,22928.51,22930.46,22924.41,22930.46,4.142291
42,22930.57,22934.33,22928.55,22933.32,3.235211
43,22932.15,22933.87,22926.91,22928.51,4.539236
44,22928.51,22938.67,22928.51,22938.67,4.17646
45,22938.76,22948.02,22938.76,22945.46,3.965686
46,22945.12,22945.12,22934.52,22936.04,3.289889
47,22936.47,22941.24,22934.23,22940.51,4.699477
48,22940.6,22943.76,22936.68,22943.45,3.895159
49,22943.87,22945.09,22940.32,22940.96,4.064417
50,22940.54,22941.1,22936.94,22937.29,3.362247
51,22937.04,22937.04,22927.72,22929.38,4.012885
52,22928.83,22933.88,22927.64,22927.64,3.39993
53,22928.76,22931.85,22925.59,22928.2,3.157066
54,22928.15,22929.74,22926.58,22927.44,4.195058
55,22928.04,22928.55,22923.72,22923.8,3.239352
56,22923.69,22928.7,22921.5,22928.07,3.640959
57,22926.15,22929.66,22926.06,22929.66,2.846483
58,22929.91,22936.01,22928.38,22934.59,4.307979
59,22934.57,22936.74,22931.91,22933.78,3.72396
60,22934.12,22935.93,22930.79,22935.93,3.835693
61,22936.09,22937.99,22931.96,22933.28,4.206645
62,22933.28,22934.15,22931.66,22932.84,3.016517
63,22932.48,22942.86,22932.15,22937.98,5.171956
64,22937.82,22942.98,22937.26,22940.78,4.723981
65,22941.76,22943.72,22939.72,22942.11,3.303241
66,22942.36,22942.68,22936.09,22937.36,3.290742
67,22937.34,22942.92,22936.53,22942.88,4.198234
68,22942.47,22965.96,22941.67,22957.23,4.425715
69,22957.29,22968.13,22948.22,22949.34,4.986733
70,22949.34,22956.94,22948.09,22956.78,5.108716
71,22956.78,22958.01,22953.47,22957.34,3.952392
72,22957.62,22966.54,22957.62,22966.03,3.034492
73,22966.1,22978.11,22965.36,22975.21,5.11451
74,22974.6,22984.44,22974.52,22983.4,5.47943
75,22982.08,22982.25,22969.77,22970.15,4.968468
76,22970.3,22973.75,22969.07,22973.01,4.501391
77,22972.76,22975.06,22968.34,22970.26,3.656529
78,22970.26,22970.71,22965.88,22965.94,3.440231
79,22965.43,22965.43,22958.0,22958.0,1.686136
80,22957.68,22957.68,22944.13,22945.21,2.495525
81,22945.99,22950.97,22944.83,22950.44,3.552748
82,22950.12,22952.07,22945.47,22946.44,4.405643
83,22945.39,22945.39,22935.36,22941.32,3.132189
84,22941.28,22941.31,22935.71,22935.72,3.334953
85,22936.07,22938.41,22935.02,22935.55,3.717166
86,22935.42,22937.07,22931.6,22934.1,3.970595
87,22934.05,22936.89,22929.41,22936.84,4.182256
88,22936.89,22939.88,22929.94,22931.32,4.238935
89,22931.32,22935.03,22928.65,22934.93,3.838478
90,22935.52,22941.3,22934.32,22941.3,4.268325
91,22940.5,22948.83,22940.43,22948.83,3.523032
92,22948.53,22948.72,22942.44,22942.67,2.199492
93,22942.75,22943.71,22941.6,22943.13,3.756105
94,22943.31,22943.86,22939.32,22939.33,4.204643
95,22939.03,22942.91,22939.02,22939.11,3.089824
96,22939.24,22941.71,22938.23,22941.71,3.666729
97,22940.93,22940.93,22936.5,22937.15,3.416056
98,22937.15,22939.34,22935.85,22939.34,3.482746
99,22939.34,22940.03,22936.92,22938.26,3.51125
100,22938.04,22940.09,22937.73,22939.1,3.781339
101,22938.45,22938.45,22931.72,22938.36,3.665484
102,22938.36,22938.6,22933.67,22934.85,3.670733
103,22934.88,22936.78,22933.71,22935.25,2.819073
104,22935.08,22936.63,22931.82,22933.93,4.421438
105,22934.1,22934.1,22926.42,22928.12,3.986854
106,22927.64,22928.2,22922.95,22925.56,4.050926
107,22925.56,22928.23,22919.63,22919.63,3.100953
108,22919.32,22922.41,22917.66,22917.7,3.685282
109,22917.54,22917.78,22914.31,22916.21,3.56851
110,22916.66,22917.78,22914.21,22917.41,3.509678
111,22917.41,22917.88,22912.74,22916.86,3.898222
112,22917.82,22935.15,22917.82,22932.89,4.829168
113,22933.32,22934.58,22931.61,22934.0,4.072487
114,22934.18,22934.18,22928.3,22931.54,3.593341
115,22931.0,22931.43,22928.72,22929.02,3.641736
116,22929.02,22931.54,22928.91,22931.28,3.944089
117,22929.97,22933.04,22929.57,22932.04,3.82478
118,22932.12,22937.1,22931.79,22936.87,3.349026
119,22937.69,22941.72,22937.69,22941.72,3.38557
