,Open,High,Low,Close,Accumulation Distribution,Volume,Stochastic Oscillator,Rate of Change,Supertrend,relative strength,On Balance Volume,Macd,Ema9,ema21,ema50,ema100,ema200,moving average,upper band,lower band
0,22666.0,22697.0,22612.54,22640.27,-585.0571350935414,1703.92847,,,0.0,38.087424520871366,1703.92847,,,,,,,,,
1,22640.27,22792.86,22638.57,22648.87,-4253.7046198197495,4233.94136,,,0.0,38.087424520871366,5937.86983,,,,,,,,,
2,22647.41,22670.04,22422.0,22523.87,-5307.390191086546,5899.68779,,,0.0,38.087424520871366,38.18203999999969,,,,,,,,,
3,22523.87,22541.98,22471.45,22536.07,-4345.432742885779,1155.62696,,,0.0,38.087424520871366,1193.8089999999997,,,,,,,,,
4,22536.06,22589.95,22533.74,22546.11,-4892.269778628558,976.73053,,,0.0,38.087424520871366,2170.53953,,,,,,,,,
5,22547.36,22614.01,22544.93,22594.02,-4587.495398098707,723.49877,,,0.0,38.087424520871366,2894.0383,,,,,,,,,
6,22593.25,22660.46,22592.09,22638.01,-4324.370972754281,766.50264,,,0.0,38.087424520871366,3660.5409400000003,,,,,,,,,
7,22638.01,22649.93,22562.81,22618.2,-4041.8185544301286,1040.40434,,,0.0,38.087424520871366,2620.1366000000003,,,,,,,,,
8,22618.2,22636.05,22597.72,22624.05,-3787.925469055769,679.11528,,,0.0,38.087424520871366,3299.2518800000003,,,,,,,,,
9,22622.7,22638.88,22593.37,22598.41,-4405.968849148034,793.8796,,-0.18489178795129124,0.0,38.087424520871366,2505.3722800000005,,,,,,,,,
10,22597.33,22623.21,22587.82,22604.87,-4455.114385576438,1348.26398,,-0.19427017771747046,0.0,38.087424520871366,3853.63626,,,,,,,,,
11,22604.87,22618.75,22573.74,22576.17,-5481.712759537946,1150.86408,,0.23219810805159558,0.0,38.087424520871366,2702.77218,,,,,,,,,
12,22576.86,22618.78,22575.45,22598.34,-5432.746697663939,865.99978,,0.2763125957631507,0.0,38.087424520871366,3568.77196,,,,,,,,,
13,22597.32,22618.48,22566.95,22569.92,-6264.393594227194,940.00361,39.885671142748755,0.10560580073457615,22786.93571428571,38.087424520871366,2628.7683500000003,,,,,,,,,
14,22568.96,22605.62,22564.03,22568.74,-7021.983844116461,979.42737,39.56749177587267,-0.11188801284587324,22358.313265306126,36.77838206775509,1649.3409800000004,,,,,,,,,
15,22568.25,22596.0,22551.72,22573.14,-7059.881074360426,1165.33983,60.933720367682184,-0.28655345589121417,22778.024825072884,36.23854525591818,2814.6808100000003,,,,,,,,,
16,22574.36,22608.44,22572.94,22596.84,-6776.135281318106,818.94111,66.34040526956271,-0.09443722312120206,22398.98266243232,39.562859944679644,3633.6219200000005,,,,,,,,,
17,22596.84,22613.88,22574.0,22579.46,-7188.481994417432,567.83104,36.0795454545442,-0.19709114857860976,22387.189615115727,40.17674648913857,3065.7908800000005,,,,,,,,,
18,22580.03,22609.08,22572.34,22603.23,-6707.804762713641,705.27482,50.46308318185741,0.021328934203768135,22789.639643106824,40.204939808788836,3771.0657000000006,,,,,,,,,
19,22603.85,22612.03,22590.75,22607.83,-6375.861148502977,548.42858,51.6001471399684,0.013094523436785188,22430.175331400806,43.0810318255833,4319.494280000001,,,,,,,,,
20,22607.83,22610.34,22580.1,22580.24,-6906.5201783176835,535.61846,29.039812646370727,0.018027858578339995,22408.794950586464,41.527562798730344,3783.8758200000007,,,,,,,22591.745714285713,23098.78355493715,22084.707873634277
21,22581.21,22595.61,22566.67,22571.42,-7403.923451240993,740.47586,22.60211106011602,-0.1191237940485923,22406.01959697314,38.858001674737366,3043.3999600000006,,,,,,,22588.467142857142,23095.504983508577,22081.429302205706
22,22571.42,22588.57,22562.1,22577.88,-7295.3852834736335,564.44112,30.013767783386758,0.03526817994925491,22737.138231382083,38.23619376175844,3607.8410800000006,,,,,,,22585.086666666666,23092.1245073181,22078.04882601523
23,22577.88,22584.44,22560.31,22563.99,-7772.360862106002,686.31012,17.16323961393312,-0.02104681076569026,22410.93664228807,37.65632585000997,2921.5309600000005,,,,,,,22586.997142857137,23094.034983508573,22079.9593022057
24,22563.04,22605.86,22562.8,22604.08,-7020.27245941204,819.87156,78.07933194154847,0.13706555667489795,22755.42811787537,41.19302835684066,3741.4025200000005,,,,,,,22590.23571428571,23097.273554937146,22083.197873634275
25,22604.08,22621.88,22595.01,22612.25,-6807.728169992618,750.46847,86.27423033067126,0.06819537599063175,22465.954604830018,47.54492905691864,4491.87099,,,,,,,22593.385238095238,23100.423078746673,22086.347397443802
