,1,2,3,4,5
0,23773.26,24152.0,23268.0,23802.58,52.42867
1,23801.16,26069.8,22797.61,23798.5,165.198597
2,23798.52,23892.6,23718.89,23766.09,158.384493
3,23765.72,23926.15,23753.8,23899.25,169.51754
4,23899.92,23935.65,21408.86,23608.06,304.828885
5,23608.06,23839.61,22842.61,23675.81,319.129233
6,23676.04,23921.55,23035.76,23840.52,237.615797
7,23840.52,23892.45,10000.1,23854.39,202.466201
8,23854.39,23897.96,23779.16,23790.74,170.000635
9,23790.53,23850.03,23781.33,23827.12,157.776543
10,23827.07,23931.33,23825.92,23893.84,176.119167
11,23894.05,24141.64,23890.74,23987.39,199.372248
12,23996.33,24105.37,23978.41,24056.66,165.056951
13,24055.95,24069.57,23751.47,23831.72,196.745592
14,23831.72,23849.9,23730.24,23805.17,185.954786
15,23803.73,23819.62,23750.83,23780.72,176.874413
16,23782.02,23882.36,23768.6,23867.45,166.050073
17,23869.33,23988.42,23700.34,23759.12,225.384774
18,23759.31,23760.52,23420.55,23467.72,189.285419
19,23456.83,23586.52,23392.11,23525.14,172.238903
20,23525.14,23682.12,23521.86,23555.95,150.083189
21,23555.41,23592.23,23482.42,23490.26,141.27039
22,23490.92,23540.51,23405.84,23489.36,152.030627
23,23489.36,23583.23,23489.36,23562.12,150.545188
24,23561.77,23562.86,23437.72,23553.55,160.681834
25,23553.2,23583.29,23536.19,23574.52,145.059974
26,23574.13,23588.31,23524.81,23554.89,130.088317
27,23554.89,23579.27,23462.14,23475.88,131.593445
28,23476.5,23518.49,23412.3,23476.12,151.95626
29,23475.88,23509.62,23417.16,23499.81,140.692653
30,23501.52,23534.02,23488.91,23532.93,139.884479
31,23533.72,23552.12,23510.09,23536.45,128.825662
32,23536.12,23560.96,23508.69,23516.2,115.189897
33,23516.05,23548.53,23501.56,23517.18,111.268609
34,23516.52,23541.37,23516.38,23523.23,122.768151
35,23523.68,23551.88,23508.67,23520.52,107.030503
36,23520.71,23538.85,23507.45,23513.27,115.159021
37,23513.92,23544.27,23476.74,23476.92,124.827842
38,23476.4,23503.42,23448.71,23452.54,137.871023
39,23452.54,23472.05,23328.21,23390.57,156.777754
40,23391.11,23427.38,23373.35,23423.32,144.202945
41,23423.33,23444.83,23400.12,23428.33,140.412077
42,23428.72,23446.67,23410.22,23420.99,119.83234
43,23420.99,23427.15,23353.22,23375.78,134.249037
44,23375.24,23489.28,23363.55,23431.57,143.821252
45,23430.93,23482.55,23310.2,23466.03,152.438057
46,23466.03,23626.08,23462.83,23534.13,157.107996
47,23533.63,23552.18,23488.12,23526.29,136.033024
48,23526.29,23568.37,23513.27,23524.12,145.181589
49,23524.08,23545.9,23461.93,23502.92,152.961184
50,23504.17,23649.44,23268.84,23343.75,206.972337
51,23343.11,23376.32,23239.68,23316.65,182.829112
52,23315.34,23587.64,23302.94,23516.67,212.643681
53,23516.38,23705.0,23412.97,23612.16,192.926467
54,23612.72,23697.69,23113.51,23605.22,197.95495
55,23603.81,23672.28,10000.96,23670.91,195.908289
56,23672.11,23712.52,23514.66,23517.55,178.953777
57,23517.55,23577.27,23504.52,23567.72,175.395715
58,23567.18,23659.38,23505.01,23508.31,162.578999
59,23506.87,23524.05,23416.25,23421.2,179.899913
60,23419.73,23570.52,23367.25,23417.9,174.224142
61,23415.39,23434.48,23380.26,23402.14,114.553305
62,23402.14,23404.06,23351.52,23376.39,44.200207
63,23376.27,23376.27,23237.42,23354.63,144.310024
64,23354.92,23408.5,23318.35,23334.81,168.965281
65,23334.95,23391.43,23330.12,23371.99,149.985647
66,23372.03,23390.0,23304.52,23379.42,125.666427
67,23379.53,23426.92,23379.1,23389.02,117.576408
68,23388.94,23440.88,23378.97,23422.12,137.716826
69,23421.7,23451.67,23404.88,23450.59,140.432784
70,23450.59,23471.15,23418.91,23431.02,134.371695
71,23430.89,23442.65,23383.25,23440.8,129.44816
72,23440.76,23461.72,10000.1,23411.08,135.754814
73,23411.61,23441.4,23394.47,23396.43,121.584137
74,23396.43,23441.65,23369.2,23374.03,117.568246
75,23374.01,23388.57,23349.86,23357.98,127.531738
76,23357.27,23397.75,23357.27,23386.88,127.153061
77,23386.9,23392.91,23362.13,23363.41,122.991327
78,23363.27,23368.53,23332.78,23343.12,137.6197
79,23342.94,23357.72,23327.82,23346.56,128.734239
80,23346.44,23346.44,23316.39,23337.33,124.826106
81,23337.35,23338.49,23266.04,23278.89,136.051801
82,23277.75,23316.26,23271.58,23312.78,125.43692
83,23312.41,23619.55,9000.0,23326.33,131.582174
84,23326.73,23346.87,23310.53,23338.52,111.809213
85,23338.12,23493.65,23303.9,23328.07,115.209819
86,23328.07,23356.24,23298.34,23330.58,113.754404
87,23330.58,23344.91,23303.3,23322.2,109.157844
88,23321.54,23323.92,23296.57,23298.04,95.646218
89,23298.26,23339.83,23292.22,23331.78,114.730083
90,23331.68,23357.64,23319.73,23340.31,107.761972
91,23340.47,23680.2,23331.56,23335.35,126.173125
92,23335.35,23358.11,23331.63,23336.11,101.828507
93,23335.75,23373.95,23332.97,23352.48,109.856414
94,23352.56,23366.3,23348.88,23362.96,101.530818
95,23363.29,23380.61,23342.16,23356.89,102.213919
96,23356.77,23680.2,23353.65,23409.85,133.227864
97,23412.96,23620.47,23408.86,23541.06,176.310496
98,23541.23,23568.92,23478.43,23503.73,148.402834
99,23503.84,23508.23,23397.73,23447.09,138.473661
100,23447.0,23469.38,23426.92,23465.5,125.122954
101,23464.52,23471.79,23419.95,23419.95,125.10617
102,23420.62,23433.95,23300.0,23420.92,133.284712
103,23421.44,23429.37,23358.45,23427.96,130.379372
104,23428.1,23451.33,23387.44,23409.3,136.887637
105,23409.15,23431.22,23395.0,23428.53,143.930084
106,23428.53,23461.9,23396.11,23439.95,146.306383
107,23439.51,23469.25,23426.3,23438.74,139.302068
108,23438.17,23452.75,23405.75,23446.07,136.122685
109,23445.91,23454.18,23429.32,23435.25,121.347185
110,23435.03,23441.63,23415.41,23426.33,113.853062
111,23426.37,23440.54,23403.88,23425.73,119.801871
112,23425.08,23425.08,23390.94,23412.27,111.245561
113,23412.12,23416.36,23394.21,23406.85,110.845487
114,23406.54,23417.42,23377.78,23413.75,120.777006
115,23413.76,23414.94,23406.56,23413.32,73.780049
116,23413.21,23448.39,23392.19,23403.35,126.020248
117,23403.34,23421.56,23213.0,23416.63,137.335808
118,23416.9,23417.43,22853.95,23327.63,152.591385
119,23326.64,23357.51,22592.76,23313.95,150.694018
120,23314.1,23347.32,22236.89,23285.23,155.459554
121,23285.6,23667.94,23033.0,23329.19,154.642408
122,23329.27,23330.56,23291.42,23319.38,124.033132
123,23319.21,23346.66,23314.32,23333.97,115.203514
124,23333.97,23340.89,23292.23,23292.52,108.809817
125,23292.5,23337.72,23289.59,23313.93,118.579244
126,23314.09,23342.91,22849.31,23342.91,111.620615
127,23343.34,23343.61,23327.66,23338.52,90.069572
128,23338.44,23375.68,23338.13,23364.39,126.534833
129,23364.14,23387.99,23360.73,23370.49,97.834308
130,23370.49,23386.88,23362.91,23375.54,95.84934
131,23374.71,23380.88,23344.2,23353.13,99.002634
132,23353.06,23425.59,23347.95,23392.67,124.766976
133,23392.62,23403.82,8000.0,23385.51,115.364083
134,23386.07,23391.1,20182.4,23376.67,100.419022
135,23377.35,23393.11,23366.28,23372.02,130.654224
136,23372.02,23985.38,22868.4,23393.27,147.175365
137,23393.3,23631.99,8000.0,23377.12,118.938213
138,23376.88,23377.12,20182.4,23365.47,117.054157
139,23365.4,23985.38,23361.18,23368.11,108.658794
140,23367.68,23403.25,23367.68,23395.86,154.770711
141,23395.85,23401.81,23383.53,23385.01,111.567236
142,23384.63,23388.24,23347.74,23356.74,174.168536
143,23356.35,23374.42,23332.12,23358.97,119.301061
144,23358.82,23365.18,23011.01,23163.43,149.396448
145,23161.48,23164.62,23072.22,23148.52,182.018843
146,23150.05,23215.58,9000.0,23167.14,168.661364
147,23167.0,23199.8,23142.5,23191.31,149.408504
148,23190.64,23209.69,23155.22,23161.7,175.579546
149,23162.11,23201.32,23152.94,23157.01,168.109289
150,23157.01,23163.25,23065.12,23096.91,161.530945
151,23097.2,23146.59,9000.0,23144.78,179.076328
152,23141.09,23155.68,23063.15,23070.49,164.504744
153,23070.49,23100.95,22902.05,23041.95,195.108183
154,23042.5,23049.95,22814.12,22852.38,205.473783
155,22850.2,22945.48,22824.95,22890.53,184.303938
156,22889.39,22910.3,22829.96,22843.08,162.680973
157,22843.3,22882.09,22746.49,22866.92,173.781532
158,22867.53,22914.31,22849.73,22892.07,169.971039
159,22890.78,22937.6,22820.07,22930.47,201.434065
160,22926.71,22930.47,22820.73,22885.88,199.615378
161,22886.28,22890.45,22773.82,22886.1,177.575993
162,22886.2,22897.32,22864.92,22896.36,142.437383
163,22894.89,23014.17,22887.28,22970.58,196.118181
164,22970.67,23029.63,22965.21,22980.35,138.736364
165,22979.8,22999.62,22932.01,22934.11,144.544098
166,22933.56,22966.08,22903.62,22931.15,143.229508
167,22931.47,23059.11,22922.08,23053.52,189.318439
168,23054.04,23090.8,23027.22,23055.83,142.882802
169,23053.95,23063.99,23005.14,23005.89,133.539284
170,23006.12,23024.51,22965.25,22978.16,135.506544
171,22978.06,23002.62,22957.2,22960.12,139.990143
172,22961.07,22971.16,22871.52,22879.32,134.565345
173,22878.0,22922.53,22829.93,22914.99,156.497824
174,22914.99,22923.63,22884.4,22895.11,135.943149
175,22895.07,22927.09,22889.69,22909.77,124.73159
176,22909.59,22921.41,22869.58,22873.7,159.704008
177,22872.63,22896.16,22635.8,22712.26,147.532573
178,22714.81,22774.93,22643.04,22774.76,163.983882
179,22774.76,22784.3,22721.06,22784.3,142.052464
180,22786.5,22799.66,22745.81,22781.69,128.458561
181,22781.69,22839.49,22755.52,22828.23,149.403514
182,22826.74,22885.73,22818.12,22879.85,135.027589
183,22879.85,22926.57,22841.85,22844.12,140.262495
184,22842.09,22887.66,22836.64,22862.67,136.336938
185,22862.97,22872.43,22816.75,22824.0,148.030505
186,22824.89,22883.08,22822.43,22837.59,131.281151
187,22837.24,22869.32,22819.95,22849.44,129.190543
188,22848.79,22856.12,22796.85,22843.07,178.374631
189,22842.83,22846.22,22740.22,22752.75,141.186651
190,22752.91,22892.42,22737.46,22878.59,158.053447
191,22878.47,22931.38,22829.43,22868.1,174.138744
192,22867.72,22944.78,22721.19,22885.3,171.6082
193,22886.31,22944.78,22864.23,22867.06,129.274561
194,22866.93,22888.42,22812.15,22829.57,144.270293
195,22828.13,22950.0,22785.14,22817.88,143.418708
196,22818.09,22896.49,22780.43,22840.89,194.819769
197,22841.06,22875.73,22749.54,22777.28,175.113098
198,22775.82,23047.13,22755.9,23041.14,180.549739
199,23042.0,23151.07,23012.96,23081.49,186.571138
200,23081.64,23094.51,22929.59,22999.35,179.683635
201,22999.62,23018.7,22956.66,23003.12,168.324629
202,23003.19,23068.64,22960.92,23034.56,167.573922
203,23035.58,23258.07,22876.0,22998.85,168.598533
204,22999.56,23741.82,21945.3,23017.28,242.855115
205,23017.89,23123.59,23013.73,23062.5,162.729149
206,23062.5,23065.23,22983.57,23030.15,167.160553
207,23030.7,23030.92,22918.21,22984.16,161.975788
208,22984.7,23018.06,22968.48,23005.39,172.706347
209,23005.3,23009.71,22961.36,22977.84,131.301654
210,22977.84,22986.94,22907.12,22917.31,144.960332
211,22915.47,22925.39,22846.82,22884.67,154.421519
212,22884.67,22922.81,22873.54,22880.38,130.663869
213,22879.38,22883.3,22641.69,22723.1,201.405996
214,22723.25,22792.15,22675.34,22761.49,174.799414
215,22761.84,23056.01,22746.83,22818.16,159.450264
216,22818.12,22820.15,22758.07,22795.85,170.877963
217,22795.65,22859.53,22791.78,22854.9,159.538592
218,22855.9,22863.24,22825.32,22847.54,160.909756
219,22847.54,22857.08,22761.3,22826.75,158.182155
220,22826.75,22888.5,22808.51,22882.71,172.758886
221,22882.71,23054.38,22557.62,22875.83,178.54601
222,22875.07,22896.52,22862.55,22876.43,160.830209
223,22873.2,22898.33,22867.84,22890.84,140.050185
224,22890.91,22926.92,22864.6,22871.37,146.238606
225,22870.31,22943.55,22866.37,22925.75,142.738213
226,22924.93,22948.02,22909.84,22936.04,126.811296
227,22936.47,22984.44,22921.5,22973.01,121.863828
228,22972.76,22975.06,22922.95,22925.56,107.165433
229,22925.56,22959.52,22912.74,22932.55,114.651927
230,22932.35,22933.68,22890.64,22911.68,113.191611
231,22910.12,22919.87,22870.61,22897.05,135.573296
232,22897.44,22909.53,22864.45,22873.12,121.286028
233,22873.12,22965.22,22872.85,22924.72,146.747026
234,22925.15,23054.38,22920.92,23009.77,155.010825
235,23009.77,23058.43,22973.97,23040.29,153.059689
236,23040.78,23045.1,22981.92,22984.13,129.905077
237,22983.69,23024.0,22972.12,23002.41,128.054071
238,23002.43,23003.16,22966.85,22977.9,139.638664
239,22977.08,23016.68,22964.92,22996.27,156.022769
240,22996.46,23053.08,22978.86,23020.02,157.220774
241,23020.24,23036.72,22547.87,22975.4,156.960378
242,22975.59,23012.91,22940.68,22982.59,169.957318
243,22982.42,23013.84,22947.76,22972.88,150.28905
244,22971.78,23083.6,22915.0,22977.32,214.288584
245,22975.86,22978.26,22893.59,22901.06,179.395614
246,22902.08,22953.76,22880.34,22905.07,177.482364
247,22904.89,22943.0,22873.73,22937.9,172.833512
248,22938.68,23022.64,22938.68,22977.24,179.465068
249,22977.44,22991.76,22964.68,22988.46,72.697999
