,Open,High,Low,Close,Accumulation Distribution,Volume,Stochastic Oscillator,Rate of Change,Supertrend,relative strength,On Balance Volume,Macd,Ema9,ema21,ema50,ema100,ema200,moving average,upper band,lower band
0,22666.0,22792.86,22422.0,22523.87,-5334.338104552737,11837.55762,,,0.0,42.71201270293908,11837.55762,,,,,,,,,
1,22523.87,22614.01,22471.45,22594.02,-3279.3876615756762,2855.85626,,,0.0,42.71201270293908,14693.41388,,,,,,,,,
2,22593.25,22660.46,22562.81,22624.05,-2647.2531739587107,2486.02226,,,0.0,42.71201270293908,17179.43614,,,,,,,,,
3,22622.7,22638.88,22573.74,22576.17,-5694.57435518103,3293.00766,,,0.0,42.71201270293908,13886.428480000002,,,,,,,,,
4,22576.86,22618.78,22564.03,22568.74,-8000.758398117735,2785.43076,,,0.0,42.71201270293908,11100.997720000003,,,,,,,,,
5,22568.25,22613.88,22551.72,22579.46,-8275.02011025432,2552.11198,,,0.0,42.71201270293908,13653.109700000003,,,,,,,,,
6,22580.03,22612.03,22572.34,22580.24,-9352.0394913426,1789.32186,,,0.0,42.71201270293908,15442.431560000003,,,,,,,,,
7,22581.21,22595.61,22560.31,22563.99,-10928.098561427545,1991.2271,,,0.0,42.71201270293908,13451.204460000003,,,,,,,,,
8,22563.04,22621.88,22562.8,22607.71,-9863.992075855542,2045.13374,,,0.0,42.71201270293908,15496.338200000002,,,,,,,,,
9,22607.23,22623.21,22600.32,22621.26,-8536.443436694444,1600.18896,,0.43238573122645896,0.0,42.71201270293908,17096.52716,,,,,,,,,
10,22621.79,22622.79,22564.61,22591.75,-8675.257110688995,2070.81527,,-0.010046906216776286,0.0,42.71201270293908,15025.711890000002,,,,,,,,,
11,22592.76,22594.86,22508.33,22551.05,-8718.299656371568,3416.94631,,-0.3226654820865371,0.0,42.71201270293908,11608.765580000003,,,,,,,,,
12,22551.05,22565.33,22492.68,22511.82,-9840.209775884363,2371.45098,,-0.2850350613057828,0.0,42.71201270293908,9237.314600000003,,,,,,,,,
13,22512.74,22570.38,22511.12,22558.57,-8363.486012165235,2455.40545,36.82521706304252,-0.04506232957622869,22741.964285714286,42.71201270293908,11692.720050000004,,,,,,,,,
14,22557.73,22571.4,22533.17,22566.35,-7123.424231974504,1685.30259,50.20898365165791,-0.058061618834115425,22387.863163265305,46.26733939505865,13378.022640000003,,,,,,,,,
15,22566.97,22568.97,22541.52,22547.35,-7959.886671654138,1454.14148,32.58433663130208,-0.1456583278122925,22375.730080174926,46.11129762205416,11923.881160000003,,,,,,,,,
16,22547.83,22573.97,22514.6,22561.27,-6609.405247771719,2360.26147,46.91518467852244,-0.01205460559059457,22733.353496980428,44.957235336119865,14284.142630000002,,,,,,,,,
17,22561.27,22619.48,22559.66,22615.99,-4553.053068353307,2327.98992,94.46870451237447,0.036624673618002035,22443.37960994675,52.45244745593664,16612.132550000002,,,,,,,,,
